,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Popularity,Popularity_Normalized
636,2017-08-01,BTCUSD,2876.13,2970.0,2599.0,2727.03,13107.78,36460469.49,74.88,7488.0
637,2017-07-31,BTCUSD,2799.0,2910.0,2723.0,2876.13,7416.98,20846588.3,73.45833333333333,7345.833333333333
638,2017-07-30,BTCUSD,2716.0,2799.0,2653.0,2799.0,4429.22,12021207.56,58.54166666666666,5854.166666666666
639,2017-07-29,BTCUSD,2800.0,2809.0,2678.59,2716.0,7066.31,19328360.92,59.95833333333334,5995.833333333334
640,2017-07-28,BTCUSD,2675.39,2851.95,2671.01,2800.0,9158.31,25311348.79,71.16666666666667,7116.666666666667
641,2017-07-27,BTCUSD,2525.0,2696.0,2511.17,2675.39,6862.25,17732572.18,63.41666666666666,6341.666666666666
642,2017-07-26,BTCUSD,2556.0,2617.01,2414.61,2525.0,9939.68,24809640.58,65.5,6550.0
643,2017-07-25,BTCUSD,2755.9,2775.0,2440.21,2556.0,10784.84,27850414.56,66.8,6680.0
644,2017-07-24,BTCUSD,2761.2,2809.38,2720.0,2755.9,5220.64,14413279.33,55.45833333333334,5545.833333333334
645,2017-07-23,BTCUSD,2831.13,2855.0,2672.26,2761.2,8011.24,22227798.02,55.70833333333334,5570.833333333334
646,2017-07-22,BTCUSD,2670.0,2875.0,2651.96,2831.13,8240.36,22978975.91,55.79166666666666,5579.166666666666
647,2017-07-21,BTCUSD,2854.88,2870.0,2614.7,2670.0,12116.76,33098894.26,64.95833333333333,6495.833333333333
648,2017-07-20,BTCUSD,2255.0,2934.44,2254.64,2854.88,16448.04,42983051.2,64.45833333333333,6445.833333333333
649,2017-07-19,BTCUSD,2310.8,2400.0,2212.48,2255.0,9343.73,21555803.3,58.16666666666666,5816.666666666666
650,2017-07-18,BTCUSD,2217.0,2400.0,2144.94,2310.8,14835.72,33828559.15,63.92,6392.0
651,2017-07-17,BTCUSD,1907.24,2225.7,1905.0,2217.0,12845.97,26519176.01,76.41666666666667,7641.666666666667
652,2017-07-16,BTCUSD,1972.07,2042.87,1809.0,1907.24,13834.08,26465600.97,80.75,8075.0
653,2017-07-15,BTCUSD,2216.18,2218.89,1956.2,1972.07,11770.53,24266487.07,71.125,7112.5
654,2017-07-14,BTCUSD,2336.4,2352.7,2133.77,2216.18,7537.69,16925211.77,63.29166666666666,6329.166666666666
655,2017-07-13,BTCUSD,2373.85,2417.08,2310.0,2336.4,6112.29,14453523.55,63.83333333333334,6383.333333333334
656,2017-07-12,BTCUSD,2302.2,2416.51,2235.0,2373.85,7601.0,17789909.17,68.0,6800.0
657,2017-07-11,BTCUSD,2339.23,2404.18,2252.84,2302.2,9918.36,23105649.01,73.16,7316.0
658,2017-07-10,BTCUSD,2499.0,2522.78,2265.0,2339.23,8784.97,21270026.85,73.45833333333333,7345.833333333333
659,2017-07-09,BTCUSD,2547.85,2560.42,2494.0,2499.0,2606.31,6604799.42,63.58333333333334,6358.333333333334
660,2017-07-08,BTCUSD,2506.93,2552.64,2470.2,2547.85,5179.87,12993981.57,64.0,6400.0
661,2017-07-07,BTCUSD,2605.64,2613.99,2470.2,2506.93,4947.35,12547221.04,67.5,6750.0
662,2017-07-06,BTCUSD,2611.39,2620.0,2575.34,2605.64,3526.91,9159101.8,68.79166666666667,6879.166666666667
663,2017-07-05,BTCUSD,2599.07,2628.39,2536.01,2611.39,5112.93,13178106.46,68.83333333333333,6883.333333333333
664,2017-07-04,BTCUSD,2546.73,2647.65,2546.73,2599.07,5910.37,15368057.98,68.84,6884.0
665,2017-07-03,BTCUSD,2505.57,2588.0,2469.21,2546.73,6415.08,16194039.36,59.125,5912.5
666,2017-07-02,BTCUSD,2392.95,2525.0,2344.0,2505.57,5868.42,14325437.84,57.04166666666666,5704.166666666666
667,2017-07-01,BTCUSD,2445.0,2500.0,2364.01,2392.95,5290.93,12868426.38,56.33333333333334,5633.333333333334
668,2017-06-30,BTCUSD,2526.07,2547.95,2419.24,2445.0,5521.11,13826141.38,61.0,6100.0
669,2017-06-29,BTCUSD,2554.02,2580.0,2498.0,2526.07,5460.02,13914613.03,69.375,6937.5
670,2017-06-28,BTCUSD,2538.01,2600.0,2444.44,2554.02,7932.07,20069959.48,84.625,8462.5
671,2017-06-27,BTCUSD,2405.0,2540.05,2257.01,2538.01,9157.09,21861457.64,84.68,8468.0
672,2017-06-26,BTCUSD,2490.13,2535.78,2210.0,2405.0,9794.36,23546657.57,76.625,7662.5
673,2017-06-25,BTCUSD,2547.43,2601.53,2408.0,2490.13,5289.42,13309534.46,64.83333333333333,6483.333333333333
674,2017-06-24,BTCUSD,2668.0,2701.79,2500.0,2547.43,4386.08,11383430.44,66.45833333333333,6645.833333333333
675,2017-06-23,BTCUSD,2684.99,2725.0,2660.11,2668.0,3465.72,9350270.21,69.45833333333333,6945.833333333333
676,2017-06-22,BTCUSD,2644.97,2735.31,2588.55,2684.99,4814.94,12835957.05,72.04166666666667,7204.166666666667
677,2017-06-21,BTCUSD,2705.1,2764.96,2570.0,2644.97,6435.05,17260582.41,74.83333333333333,7483.333333333333
678,2017-06-20,BTCUSD,2584.86,2768.0,2579.0,2705.1,6378.67,16976190.86,71.84,7184.0
679,2017-06-19,BTCUSD,2497.76,2592.0,2484.82,2584.86,6456.71,16491853.43,52.79166666666666,5279.166666666666
680,2017-06-18,BTCUSD,2642.24,2670.16,2460.0,2497.76,7002.25,18005873.04,50.66666666666666,5066.666666666666
681,2017-06-17,BTCUSD,2470.3,2678.0,2420.89,2642.24,5832.43,14914075.83,54.58333333333334,5458.333333333334
682,2017-06-16,BTCUSD,2428.71,2526.35,2308.31,2470.3,8195.01,20035475.94,63.75,6375.0
683,2017-06-15,BTCUSD,2452.69,2510.76,2075.33,2428.71,15713.48,36575014.52,76.20833333333333,7620.833333333333
684,2017-06-14,BTCUSD,2710.0,2797.9,2318.43,2452.69,10299.18,26992933.57,63.875,6387.5
685,2017-06-13,BTCUSD,2609.44,2778.16,2601.0,2710.0,7194.1,19434958.18,66.92,6692.0
686,2017-06-12,BTCUSD,2924.88,2948.0,2400.0,2609.44,10263.15,27753593.72,75.20833333333333,7520.833333333333
687,2017-06-11,BTCUSD,2816.27,2930.0,2781.89,2924.88,4737.13,13518291.67,58.375,5837.5
688,2017-06-10,BTCUSD,2816.47,2907.92,2787.89,2816.27,6114.65,17389788.78,55.91666666666666,5591.666666666666
689,2017-06-09,BTCUSD,2811.63,2865.34,2793.11,2816.47,3812.18,10779647.78,58.66666666666666,5866.666666666666
690,2017-06-08,BTCUSD,2690.0,2818.05,2615.99,2811.63,5273.3,14489986.03,60.45833333333334,6045.833333333334
691,2017-06-07,BTCUSD,2867.0,2885.0,2630.0,2690.0,7809.41,21797374.08,70.83333333333333,7083.333333333333
692,2017-06-06,BTCUSD,2690.0,2934.28,2690.0,2867.0,11715.36,33019002.57,78.52,7852.0
693,2017-06-05,BTCUSD,2520.55,2692.37,2515.0,2690.0,6531.93,17008512.64,75.08333333333333,7508.333333333333
694,2017-06-04,BTCUSD,2549.72,2570.0,2480.0,2520.55,5763.56,14522735.17,65.83333333333333,6583.333333333333
695,2017-06-03,BTCUSD,2487.18,2588.77,2450.41,2549.72,5464.59,13789175.31,70.375,7037.5
696,2017-06-02,BTCUSD,2399.0,2497.65,2371.15,2487.18,7016.69,16991823.67,75.29166666666667,7529.166666666667
697,2017-06-01,BTCUSD,2291.3,2456.11,2291.3,2399.0,10556.77,25145011.41,82.875,8287.5
698,2017-05-31,BTCUSD,2159.1,2334.74,2130.0,2291.3,8833.53,19771900.64,84.16666666666667,8416.666666666668
699,2017-05-30,BTCUSD,2245.27,2315.38,2133.0,2159.1,7785.63,17434089.26,86.48,8648.0
700,2017-05-29,BTCUSD,2137.21,2326.33,2051.68,2245.27,4462.86,9841970.36,36.458333333333336,3645.8333333333335
701,2017-05-28,BTCUSD,2008.0,2270.0,1995.02,2137.21,6990.2,14955892.58,37.958333333333336,3795.8333333333335
702,2017-05-27,BTCUSD,2203.71,2290.0,1812.99,2008.0,12527.14,25207759.78,49.91666666666666,4991.666666666666
703,2017-05-26,BTCUSD,2259.2,2573.69,2030.0,2203.71,10866.39,25226515.43,58.70833333333334,5870.833333333334
704,2017-05-25,BTCUSD,2408.24,2722.24,2201.0,2259.2,14227.25,35456529.64,73.16666666666667,7316.666666666667
705,2017-05-24,BTCUSD,2231.97,2474.72,2231.97,2408.24,9460.14,22150988.58,55.29166666666666,5529.166666666666
706,2017-05-23,BTCUSD,2085.99,2250.0,2079.25,2231.97,7541.39,16293593.53,52.44,5244.0
707,2017-05-22,BTCUSD,2011.11,2197.19,1900.1,2085.99,9810.68,20610362.06,67.95833333333333,6795.833333333333
708,2017-05-21,BTCUSD,2039.11,2096.84,1990.0,2011.11,5920.32,12031508.14,44.41666666666666,4441.666666666666
709,2017-05-20,BTCUSD,1961.79,2046.48,1957.0,2039.11,6000.91,11949832.58,42.79166666666666,4279.166666666666
710,2017-05-19,BTCUSD,1900.0,1971.99,1851.54,1961.79,7579.01,14595609.63,43.29166666666666,4329.166666666666
711,2017-05-18,BTCUSD,1836.06,2589.0,1821.07,1900.0,6681.75,12564072.51,39.54166666666666,3954.1666666666656
712,2017-05-17,BTCUSD,1786.85,1880.0,1763.4,1836.06,7578.42,13827228.09,43.16666666666666,4316.666666666666
713,2017-05-16,BTCUSD,1739.75,1791.26,1701.0,1786.85,6118.17,10677188.22,51.92,5192.0
714,2017-05-15,BTCUSD,1788.04,1795.16,1699.12,1739.75,4577.66,7949731.51,78.25,7825.0
715,2017-05-14,BTCUSD,1783.57,1818.0,1752.85,1788.04,2595.66,4636688.67,56.75,5675.0
