date,bitcoin
2016-08-21,74.125
2016-08-22,78.95833333333333
2016-08-23,84.84
2016-08-24,83.54166666666667
2016-08-25,82.95833333333333
2016-08-26,81.91666666666667
2016-08-27,78.45833333333333
2016-08-28,79.29166666666667
2016-08-29,81.875
2016-08-30,75.56
2016-08-31,74.5
2016-09-01,73.91666666666667
2016-09-02,71.75
2016-09-03,74.70833333333333
2016-09-04,80.41666666666667
2016-09-05,80.70833333333333
2016-09-06,77.6
2016-09-07,77.79166666666667
2016-09-08,84.91666666666667
2016-09-09,80.83333333333333
2016-09-10,78.20833333333333
2016-09-11,78.375
2016-09-12,79.79166666666667
2016-09-13,81.84
2016-09-14,77.45833333333333
2016-09-15,78.95833333333333
2016-09-16,75.5
2016-09-17,73.29166666666667
2016-09-18,72.875
2016-09-19,76.54166666666667
2016-09-20,82.04
2016-09-21,84.54166666666667
2016-09-22,81.0
2016-09-23,79.16666666666667
2016-09-24,77.70833333333333
2016-09-25,76.58333333333333
2016-09-26,79.95833333333333
2016-09-27,76.4
2016-09-28,76.20833333333333
2016-09-29,76.95833333333333
2016-09-30,76.875
2016-10-01,75.04166666666667
2016-10-02,73.41666666666667
2016-10-03,77.125
2016-10-04,65.72
2016-10-05,63.833333333333336
2016-10-06,63.166666666666664
2016-10-07,64.70833333333333
2016-10-08,62.708333333333336
2016-10-09,61.583333333333336
2016-10-10,62.083333333333336
2016-10-11,74.8
2016-10-12,75.16666666666667
2016-10-13,71.04166666666667
2016-10-14,70.75
2016-10-15,66.79166666666667
2016-10-16,65.91666666666667
2016-10-17,68.29166666666667
2016-10-18,77.88
2016-10-19,77.04166666666667
2016-10-20,74.16666666666667
2016-10-21,73.625
2016-10-22,74.79166666666667
2016-10-23,77.58333333333333
2016-10-24,79.45833333333333
2016-10-25,42.84
2016-10-26,42.833333333333336
2016-10-27,46.333333333333336
2016-10-28,48.583333333333336
2016-10-29,52.916666666666664
2016-10-30,46.791666666666664
2016-10-31,47.75
2016-11-01,54.48
